0,System N,System J,System O,System A,System I,System E,System F,System L,System D,System H,System B,System K,black-bar,System C,System M,System G
1,System A,System C,System E,System I,System N,System B,System K,System D,System O,System J,System L,System F,black-bar,System G,System M,System H
2,System N,System F,System D,black-bar,System H,System C,System A,System E,System O,System I,System K,System G,System L,System B,System J,System M
3,System C,System A,System N,black-bar,System I,System H,System D,System E,System O,System F,System L,System K,System G,System B,System J,System M
0,System B,System G,System N,System L,System A,System E,System K,System I,System F,System M,System J,System D,System C,System H,System O,black-bar
1,System N,System E,System B,System G,System K,System F,System L,System J,System C,System I,System M,System H,System A,black-bar,System D,System O
2,System H,System B,System F,black-bar,System D,System E,System N,System G,System K,System L,System A,System I,System O,System J,System M,System C
3,System B,System E,System N,System F,System G,System I,System K,System L,System H,System A,System J,System O,System M,System C,black-bar,System D
0,System K,System D,System J,System B,System A,System H,System E,System F,System N,System G,System C,System I,black-bar,System M,System O,System L
1,System D,System C,System B,System J,System K,System E,System F,System N,System H,System I,System G,black-bar,System M,System A,System O,System L
2,System C,System H,System J,black-bar,System B,System E,System D,System K,System A,System F,System N,System I,System L,System M,System O,System G
3,System H,System O,System J,black-bar,System B,System E,System D,System K,System A,System F,System N,System I,System L,System M,System C,System G
0,System I,System N,System J,System M,System H,System F,System E,System D,System B,System A,System C,System K,System G,black-bar,System O,System L
1,System I,System D,System E,System J,System M,System N,System H,System F,System A,System C,System K,System B,black-bar,System G,System O,System L
2,System E,System A,System D,System F,black-bar,System H,System I,System N,System J,System M,System B,System G,System K,System O,System C,System L
3,System E,System D,black-bar,System H,System I,System N,System J,System F,System M,System B,System A,System G,System K,System O,System C,System L
0,System I,System F,System O,System H,System B,System K,System L,System C,System G,black-bar,System N,System J,System M,System E,System D,System A
1,System H,System L,System O,System F,System I,System B,System C,black-bar,System N,System G,System E,System J,System M,System K,System D,System A
2,System I,System F,System O,System G,System J,System N,System C,System M,System E,System B,System D,System H,System L,black-bar,System K,System A
3,System N,System D,black-bar,System I,System F,System K,System O,System G,System J,System C,System M,System E,System A,System B,System H,System L
0,System A,System K,System O,System F,System D,System C,System H,System M,System N,System L,System G,System E,System B,black-bar,System I,System J
1,System O,System K,System F,System D,System A,System N,System G,System L,System M,System B,System C,System E,black-bar,System H,System I,System J
2,System D,System F,System M,System G,System E,System C,black-bar,System A,System I,System K,System O,System N,System L,System J,System B,System H
3,System D,System G,System E,System M,System C,System F,black-bar,System A,System I,System K,System O,System N,System L,System J,System B,System H
0,System L,System J,System O,System M,System I,System G,System F,System D,System E,System C,System N,System H,System K,System B,black-bar,System A
1,System J,System O,System C,System D,System I,System E,System L,System N,System M,System G,System H,System K,System B,black-bar,System F,System A
2,System I,System E,System G,System A,System K,System O,black-bar,System L,System F,System J,System M,System C,System N,System B,System H,System D
3,System O,System C,System A,System K,System E,black-bar,System L,System F,System I,System J,System M,System G,System N,System B,System H,System D
0,System D,System B,System L,System E,System H,System I,System K,System A,System C,System M,System G,System J,black-bar,System N,System F,System O
1,System L,System D,System B,System E,System A,System H,System I,System K,System M,System C,System G,System N,System J,black-bar,System F,System O
2,System B,System L,System N,System I,System H,black-bar,System K,System D,System J,System A,System E,System M,System O,System F,System C,System G
3,System N,System O,System J,black-bar,System K,System D,System B,System H,System A,System L,System E,System M,System I,System F,System C,System G
0,System L,System K,System D,System A,System G,System M,System C,System E,System I,System J,System O,System H,black-bar,System F,System N,System B
1,System D,System G,System L,System A,System J,System K,System E,System I,System C,System F,System H,System O,System M,black-bar,System N,System B
2,System D,System G,System A,black-bar,System O,System L,System C,System E,System I,System J,System K,System B,System F,System N,System M,System H
3,System D,System L,System F,System K,black-bar,System G,System O,System C,System E,System I,System A,System J,System B,System N,System M,System H
0,System A,System M,System C,System G,System K,System H,System I,System D,System J,System E,System O,System N,black-bar,System F,System B,System L
1,System A,System H,System C,System G,System M,System K,System I,System D,System E,System O,System J,System N,black-bar,System F,System L,System B
2,System I,System A,System J,System E,black-bar,System M,System H,System C,System K,System G,System D,System O,System L,System F,System N,System B
3,System M,System A,System J,System N,black-bar,System H,System C,System K,System G,System I,System D,System O,System L,System E,System F,System B
0,System G,System L,System B,System A,System E,System K,System C,System I,System F,black-bar,System J,System D,System H,System O,System N,System M
1,System G,System A,System L,System B,System E,System C,System K,System I,System J,System F,System O,black-bar,System D,System H,System N,System M
2,System A,System I,System L,System C,System O,System G,System B,System K,System J,black-bar,System E,System D,System N,System M,System H,System F
3,System G,System I,System A,System L,System B,System N,System C,System K,System J,black-bar,System E,System D,System O,System M,System H,System F
0,System E,System G,System F,System C,System L,System B,System K,System H,System M,System N,black-bar,System D,System A,System I,System O,System J
1,System B,System F,System C,System E,System L,System N,System M,System G,System A,System K,System H,black-bar,System D,System I,System O,System J
2,System B,System E,System C,System O,System G,System I,System L,System M,System J,System A,System H,System F,black-bar,System N,System D,System K
3,System A,System F,System G,black-bar,System B,System N,System E,System C,System O,System I,System M,System L,System J,System H,System D,System K
