0,System E,black-bar,System O,System K,System C,System G,System M,System J,System D,System H,System L,System I,System B,System A,System F,System N
1,System E,black-bar,System O,System K,System C,System G,System M,System J,System D,System H,System L,System I,System B,System A,System F,System N
2,System K,System O,System C,System M,System J,System G,System D,System E,System L,System H,System F,System B,black-bar,System I,System A,System N
3,System J,System K,System F,System M,System G,System C,System O,System E,System H,System L,black-bar,System D,System A,System N,System B,System I
0,System F,black-bar,System M,System D,System N,System E,System J,System O,System L,System K,System I,System H,System G,System C,System A,System B
1,System F,black-bar,System M,System D,System N,System E,System J,System O,System L,System K,System I,System H,System G,System C,System A,System B
2,System E,System N,System J,System M,System D,System B,System O,System L,System F,System K,System I,System G,black-bar,System A,System C,System H
3,System F,System N,System J,System E,System M,System K,System D,System L,System B,System O,System C,black-bar,System H,System I,System G,System A
0,System G,System M,black-bar,System K,System L,System A,System H,System E,System B,System I,System O,System D,System C,System F,System J,System N
1,System G,System M,black-bar,System K,System L,System A,System E,System H,System B,System I,System O,System D,System C,System F,System J,System N
2,System E,System H,System L,System I,System O,System B,System K,System A,System G,System C,System M,System F,System J,black-bar,System D,System N
3,System L,System H,System J,System K,System A,System E,System M,System B,System O,System G,System F,System I,System C,System N,System D,black-bar
0,System K,System B,System I,System O,System F,System G,System J,System M,System N,System D,System H,black-bar,System L,System A,System C,System E
1,System K,System B,System I,System O,System F,System G,System M,System C,System N,System D,System J,black-bar,System H,System L,System E,System A
2,System A,System K,System B,System O,System I,System M,System G,System H,System F,System D,black-bar,System N,System J,System L,System E,System C
3,System G,System B,System I,System A,System O,black-bar,System F,System H,System K,System M,System N,System D,System E,System L,System J,System C
0,System H,System C,System J,System A,System G,System N,System K,System L,System O,black-bar,System M,System F,System I,System B,System D,System E
1,System C,System H,System J,System N,System A,System K,System G,System O,System L,black-bar,System M,System F,System I,System B,System D,System E
2,System J,System C,System A,System M,System F,System N,System I,System D,System O,System B,System G,System H,System L,black-bar,System K,System E
3,System C,System M,System I,System F,System J,System A,System H,System K,System N,System B,System O,System E,System D,System G,System L,black-bar
0,System O,System E,System H,System J,System B,System K,System G,System L,System C,System I,System M,System A,System D,black-bar,System N,System F
1,System H,System E,System B,System D,System O,System K,System G,System L,System C,System M,System A,System I,System J,black-bar,System N,System F
2,System K,System D,System G,System M,System C,System F,System O,System E,System J,System B,System H,System I,black-bar,System A,System L,System N
3,System K,System D,System C,System G,System M,System F,System L,black-bar,System H,System O,System N,System J,System B,System E,System A,System I
0,System N,System F,System M,System K,System L,System G,System O,System A,System C,System J,System I,System B,System H,black-bar,System E,System D
1,System M,System N,System K,System F,System G,System O,System H,System C,System A,System J,System B,System I,System L,black-bar,System E,System D
2,System F,System O,System I,System N,System K,System M,System L,System G,System H,System A,System B,System C,System J,black-bar,System D,System E
3,System M,System K,System B,System N,System O,System A,System L,System I,black-bar,System F,System H,System C,System J,System G,System D,System E
0,System L,System E,System J,System H,System C,System O,System M,System D,System N,System A,System G,System F,System K,System B,black-bar,System I
1,System L,System E,System J,System H,System O,System D,System C,System M,System N,System A,System G,System F,System K,System B,black-bar,System I
2,System C,System E,System H,System B,System M,System O,System K,System G,System J,System D,System L,System N,System I,black-bar,System F,System A
3,System E,System O,System M,System H,System K,System C,System G,System B,System L,System D,System J,black-bar,System N,System I,System F,System A
0,System G,System K,System L,System H,System B,System E,System F,System I,System N,System J,System D,System O,System A,System C,black-bar,System M
1,System K,System L,System H,System B,System E,System F,System I,System N,System G,System J,System D,System O,System A,System C,black-bar,System M
2,System H,System G,System K,System B,System L,System F,System C,System E,System N,System J,System I,System O,System A,black-bar,System D,System M
3,System I,System G,System L,System K,System B,System H,System E,System N,System F,System J,System A,System O,System C,black-bar,System D,System M
0,System H,System G,System J,System D,System K,System A,System E,System N,System B,System I,System L,black-bar,System O,System C,System F,System M
1,System G,System J,System D,System H,System K,System A,System E,System N,System B,System I,System L,black-bar,System F,System M,System O,System C
2,System G,System H,System A,System J,System E,System K,System B,System I,System N,System D,System C,System L,System O,black-bar,System F,System M
3,System E,System K,System B,System D,System C,System G,System I,System H,System A,black-bar,System J,System N,System L,System F,System O,System M
