rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15
vicuna,baize,wizardlm,gpt4,cohere,instructgpt,chatgpt,dolly,koala,mpt,openassist,redpajama,llama,alpaca,falcon
baize,redpajama,llama,mpt,vicuna,koala,wizardlm,chatgpt,instructgpt,gpt4,cohere,dolly,openassist,alpaca,falcon
baize,wizardlm,gpt4,falcon,vicuna,koala,chatgpt,instructgpt,cohere,dolly,openassist,redpajama,mpt,alpaca,llama
chatgpt,gpt4,vicuna,baize,koala,wizardlm,instructgpt,cohere,dolly,openassist,redpajama,mpt,alpaca,falcon,llama
baize,koala,wizardlm,chatgpt,cohere,gpt4,vicuna,openassist,dolly,alpaca,mpt,falcon,instructgpt,redpajama,llama
openassist,vicuna,baize,koala,wizardlm,chatgpt,instructgpt,gpt4,cohere,dolly,redpajama,mpt,alpaca,falcon,llama
dolly,vicuna,baize,koala,wizardlm,chatgpt,instructgpt,gpt4,cohere,openassist,redpajama,mpt,alpaca,falcon,llama
dolly,openassist,vicuna,baize,koala,chatgpt,wizardlm,instructgpt,gpt4,cohere,redpajama,mpt,alpaca,falcon,llama
baize,chatgpt,instructgpt,gpt4,cohere,dolly,openassist,vicuna,alpaca,falcon,redpajama,mpt,koala,llama,wizardlm
vicuna,baize,wizardlm,cohere,chatgpt,alpaca,mpt,llama,falcon,koala,instructgpt,gpt4,dolly,openassist,redpajama
wizardlm,baize,instructgpt,gpt4,vicuna,dolly,openassist,redpajama,mpt,llama,alpaca,falcon,chatgpt,koala,cohere
vicuna,wizardlm,chatgpt,koala,gpt4,cohere,dolly,mpt,openassist,falcon,alpaca,llama,instructgpt,baize,redpajama
vicuna,baize,koala,wizardlm,instructgpt,cohere,chatgpt,gpt4,openassist,redpajama,mpt,alpaca,falcon,llama,dolly
baize,koala,wizardlm,chatgpt,instructgpt,gpt4,cohere,dolly,vicuna,openassist,redpajama,mpt,alpaca,falcon,llama
baize,koala,wizardlm,vicuna,chatgpt,instructgpt,gpt4,cohere,openassist,alpaca,falcon,mpt,redpajama,dolly,llama
gpt4,dolly,alpaca,baize,vicuna,koala,wizardlm,chatgpt,instructgpt,cohere,openassist,redpajama,mpt,falcon,llama
vicuna,baize,chatgpt,gpt4,openassist,mpt,instructgpt,cohere,alpaca,falcon,llama,koala,wizardlm,dolly,redpajama
openassist,koala,alpaca,falcon,instructgpt,wizardlm,dolly,chatgpt,vicuna,baize,cohere,gpt4,redpajama,mpt,llama
gpt4,baize,koala,vicuna,wizardlm,chatgpt,instructgpt,cohere,dolly,openassist,redpajama,mpt,alpaca,falcon,llama
chatgpt,vicuna,baize,koala,wizardlm,instructgpt,gpt4,cohere,dolly,openassist,redpajama,mpt,alpaca,falcon,llama
gpt4,chatgpt,vicuna,baize,koala,wizardlm,instructgpt,cohere,dolly,openassist,redpajama,mpt,alpaca,falcon,llama
falcon,vicuna,baize,koala,wizardlm,chatgpt,instructgpt,gpt4,cohere,dolly,openassist,redpajama,mpt,alpaca,llama
koala,openassist,wizardlm,vicuna,baize,chatgpt,instructgpt,gpt4,cohere,dolly,redpajama,mpt,alpaca,falcon,llama
gpt4,vicuna,baize,koala,wizardlm,chatgpt,instructgpt,cohere,falcon,openassist,dolly,redpajama,mpt,alpaca,llama
alpaca,wizardlm,baize,falcon,chatgpt,instructgpt,gpt4,dolly,mpt,koala,vicuna,cohere,openassist,redpajama,llama
koala,vicuna,baize,wizardlm,chatgpt,instructgpt,gpt4,cohere,dolly,openassist,redpajama,mpt,alpaca,falcon,llama
dolly,gpt4,baize,vicuna,koala,wizardlm,chatgpt,instructgpt,cohere,openassist,redpajama,mpt,alpaca,falcon,llama
gpt4,vicuna,baize,koala,wizardlm,chatgpt,instructgpt,cohere,dolly,openassist,redpajama,mpt,alpaca,falcon,llama
mpt,baize,vicuna,koala,wizardlm,chatgpt,instructgpt,gpt4,cohere,dolly,openassist,redpajama,alpaca,falcon,llama
vicuna,openassist,baize,redpajama,dolly,alpaca,koala,wizardlm,chatgpt,instructgpt,gpt4,cohere,mpt,falcon,llama
mpt,vicuna,baize,koala,wizardlm,chatgpt,instructgpt,gpt4,cohere,dolly,openassist,redpajama,alpaca,falcon,llama
redpajama,vicuna,baize,koala,wizardlm,chatgpt,instructgpt,gpt4,cohere,dolly,openassist,mpt,alpaca,falcon,llama
koala,vicuna,baize,wizardlm,chatgpt,instructgpt,gpt4,cohere,dolly,openassist,redpajama,mpt,alpaca,falcon,llama
baize,chatgpt,instructgpt,alpaca,vicuna,koala,wizardlm,gpt4,cohere,dolly,openassist,redpajama,mpt,falcon,llama
baize,chatgpt,gpt4,wizardlm,openassist,instructgpt,falcon,cohere,vicuna,dolly,mpt,koala,alpaca,redpajama,llama
baize,koala,wizardlm,chatgpt,vicuna,instructgpt,gpt4,cohere,dolly,openassist,redpajama,mpt,alpaca,falcon,llama
chatgpt,gpt4,cohere,mpt,llama,dolly,redpajama,vicuna,baize,koala,wizardlm,instructgpt,openassist,alpaca,falcon
openassist,baize,chatgpt,cohere,vicuna,instructgpt,wizardlm,gpt4,koala,dolly,redpajama,mpt,alpaca,falcon,llama
vicuna,cohere,wizardlm,baize,koala,chatgpt,instructgpt,gpt4,dolly,openassist,redpajama,mpt,alpaca,falcon,llama
alpaca,vicuna,baize,koala,wizardlm,chatgpt,instructgpt,gpt4,cohere,dolly,openassist,redpajama,mpt,falcon,llama
falcon,chatgpt,instructgpt,vicuna,baize,koala,wizardlm,gpt4,cohere,dolly,openassist,redpajama,mpt,alpaca,llama
chatgpt,openassist,wizardlm,gpt4,vicuna,baize,koala,instructgpt,cohere,dolly,redpajama,mpt,alpaca,falcon,llama
vicuna,baize,wizardlm,chatgpt,instructgpt,gpt4,cohere,dolly,openassist,mpt,alpaca,falcon,llama,koala,redpajama
baize,instructgpt,openassist,dolly,mpt,alpaca,vicuna,koala,wizardlm,chatgpt,gpt4,cohere,redpajama,falcon,llama
wizardlm,gpt4,dolly,redpajama,mpt,baize,vicuna,koala,chatgpt,instructgpt,cohere,openassist,alpaca,falcon,llama
wizardlm,gpt4,openassist,mpt,chatgpt,vicuna,baize,koala,instructgpt,cohere,dolly,redpajama,alpaca,falcon,llama
baize,vicuna,cohere,koala,wizardlm,chatgpt,instructgpt,gpt4,dolly,openassist,redpajama,mpt,alpaca,falcon,llama
gpt4,wizardlm,openassist,mpt,vicuna,baize,koala,chatgpt,instructgpt,cohere,dolly,redpajama,alpaca,falcon,llama
vicuna,wizardlm,chatgpt,cohere,openassist,koala,gpt4,mpt,dolly,baize,instructgpt,redpajama,alpaca,falcon,llama
baize,wizardlm,chatgpt,instructgpt,gpt4,cohere,openassist,dolly,redpajama,mpt,alpaca,vicuna,koala,falcon,llama
